PROCESSKEY;MATMREA;COORD_TYPE;/BIC/ZCMVTECH;OBJVERS;CHANGED;/BIC/ZCMOVAREA;/BIC/ZCSORTARE;/BIC/ZCSORTDSC;/BIC/ZCRPRTCTG;/BIC/ZCMVRSDSC;/BIC/ZCSORTIND;/BIC/ZCIPMMNAT;/BIC/ZCCONSHOF
005;9014;;701;A;;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;X
005;9014;;703;A;;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9014;;705;A;;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9014;;707;A;;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9015;;701;A;;DISPONIBLE;1;111;ACHAT;;600;STK_DISCREPANCY;X
005;9015;;707;A;;DISPONIBLE;1;111;ACHAT;;600;STK_DISCREPANCY;
005;9901;;712;A;;DISPONIBLE;1;500;INVENTAIRE;;600;STK_DISCREPANCY;X
005;9903;;712;A;;DISPONIBLE;1;500;INVENTAIRE;;600;STK_DISCREPANCY;X
006;0000;;561;A;;DISPONIBLE;1;100;INIT;;100;INIT_STK;
006;0000;;562;A;;DISPONIBLE;1;100;INIT;;100;INIT_STK;
010;0000;;301;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;302;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;303;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;304;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;309;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;311;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;312;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;313;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;314;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;321;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;322;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;323;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;325;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;326;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;343;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;344;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;349;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;350;A;;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
